id,name,site,management_ip,model,os_version,status,uptime_days,cpu_percent,memory_percent,serial_number,config_text
21,Router-21,Bucharest,10.10.20.21,ISR4331,IOS-XE 17.9.4,up,158,20,52,FTX10021AB,"hostname Router-21
interface GigabitEthernet0/0/0
 ip address 10.10.20.21 255.255.255.0
 no shutdown
router eigrp 200"
22,Router-22,Cluj,10.10.20.22,ASR1001-X,IOS-XE 17.6.5,up,204,16,46,FTX10022AB,"hostname Router-22
interface GigabitEthernet0/0/0
 ip address 10.10.20.22 255.255.255.0
 no shutdown
router eigrp 200"
23,Router-23,Iasi,10.10.20.23,C1111-8P,IOS-XE 17.12.1,up,81,25,58,FTX10023AB,"hostname Router-23
interface GigabitEthernet0/0/0
 ip address 10.10.20.23 255.255.255.0
 no shutdown
router eigrp 200"
24,Router-24,Timisoara,10.10.20.24,ISR4451-X,IOS-XE 17.9.3,up,288,32,65,FTX10024AB,"hostname Router-24
interface GigabitEthernet0/0/0
 ip address 10.10.20.24 255.255.255.0
 no shutdown
router eigrp 200"
25,Router-25,Brasov,10.10.20.25,ISR4331,IOS-XE 17.9.4,up,140,22,54,FTX10025AB,"hostname Router-25
interface GigabitEthernet0/0/0
 ip address 10.10.20.25 255.255.255.0
 no shutdown
router ospf 30"
26,Router-26,Bucharest,10.10.20.26,ASR1001-X,IOS-XE 17.6.5,up,226,19,49,FTX10026AB,"hostname Router-26
interface GigabitEthernet0/0/0
 ip address 10.10.20.26 255.255.255.0
 no shutdown
router ospf 30"
27,Router-27,Cluj,10.10.20.27,C1111-8P,IOS-XE 17.12.1,down,1,1,18,FTX10027AB,"hostname Router-27
interface GigabitEthernet0/0/0
 ip address 10.10.20.27 255.255.255.0
 shutdown
router ospf 30"
28,Router-28,Iasi,10.10.20.28,ISR4451-X,IOS-XE 17.9.3,up,315,35,68,FTX10028AB,"hostname Router-28
interface GigabitEthernet0/0/0
 ip address 10.10.20.28 255.255.255.0
 no shutdown
router ospf 30"
29,Router-29,Timisoara,10.10.20.29,ISR4331,IOS-XE 17.9.4,up,167,23,55,FTX10029AB,"hostname Router-29
interface GigabitEthernet0/0/0
 ip address 10.10.20.29 255.255.255.0
 no shutdown
router bgp 65200"
30,Router-30,Brasov,10.10.20.30,ASR1001-X,IOS-XE 17.6.5,up,239,18,47,FTX10030AB,"hostname Router-30
interface GigabitEthernet0/0/0
 ip address 10.10.20.30 255.255.255.0
 no shutdown
router bgp 65200"
31,Router-31,Bucharest,10.10.20.31,C1111-8P,IOS-XE 17.12.1,up,88,27,60,FTX10031AB,"hostname Router-31
interface GigabitEthernet0/0/0
 ip address 10.10.20.31 255.255.255.0
 no shutdown
router bgp 65200"
32,Router-32,Cluj,10.10.20.32,ISR4451-X,IOS-XE 17.9.3,up,297,34,66,FTX10032AB,"hostname Router-32
interface GigabitEthernet0/0/0
 ip address 10.10.20.32 255.255.255.0
 no shutdown
router bgp 65200"
33,Router-33,Iasi,10.10.20.33,ISR4331,IOS-XE 17.9.4,up,161,22,53,FTX10033AB,"hostname Router-33
interface GigabitEthernet0/0/0
 ip address 10.10.20.33 255.255.255.0
 no shutdown
router eigrp 300"
34,Router-34,Timisoara,10.10.20.34,ASR1001-X,IOS-XE 17.6.5,up,214,17,46,FTX10034AB,"hostname Router-34
interface GigabitEthernet0/0/0
 ip address 10.10.20.34 255.255.255.0
 no shutdown
router eigrp 300"
35,Router-35,Brasov,10.10.20.35,C1111-8P,IOS-XE 17.12.1,up,71,26,58,FTX10035AB,"hostname Router-35
interface GigabitEthernet0/0/0
 ip address 10.10.20.35 255.255.255.0
 no shutdown
router eigrp 300"
36,Router-36,Bucharest,10.10.20.36,ISR4451-X,IOS-XE 17.9.3,up,304,33,65,FTX10036AB,"hostname Router-36
interface GigabitEthernet0/0/0
 ip address 10.10.20.36 255.255.255.0
 no shutdown
router eigrp 300"
37,Router-37,Cluj,10.10.20.37,ISR4331,IOS-XE 17.9.4,up,148,24,56,FTX10037AB,"hostname Router-37
interface GigabitEthernet0/0/0
 ip address 10.10.20.37 255.255.255.0
 no shutdown
router ospf 40"
38,Router-38,Iasi,10.10.20.38,ASR1001-X,IOS-XE 17.6.5,down,5,4,23,FTX10038AB,"hostname Router-38
interface GigabitEthernet0/0/0
 ip address 10.10.20.38 255.255.255.0
 shutdown
router ospf 40"
39,Router-39,Timisoara,10.10.20.39,C1111-8P,IOS-XE 17.12.1,up,84,28,60,FTX10039AB,"hostname Router-39
interface GigabitEthernet0/0/0
 ip address 10.10.20.39 255.255.255.0
 no shutdown
router ospf 40"
40,Router-40,Brasov,10.10.20.40,ISR4451-X,IOS-XE 17.9.3,up,319,35,68,FTX10040AB,"hostname Router-40
interface GigabitEthernet0/0/0
 ip address 10.10.20.40 255.255.255.0
 no shutdown
router ospf 40"
41,Router-41,Bucharest,10.10.20.41,ISR4331,IOS-XE 17.9.4,up,176,21,54,FTX10041AB,"hostname Router-41
interface GigabitEthernet0/0/0
 ip address 10.10.20.41 255.255.255.0
 no shutdown
router bgp 65300"
42,Router-42,Cluj,10.10.20.42,ASR1001-X,IOS-XE 17.6.5,up,233,19,48,FTX10042AB,"hostname Router-42
interface GigabitEthernet0/0/0
 ip address 10.10.20.42 255.255.255.0
 no shutdown
router bgp 65300"
43,Router-43,Iasi,10.10.20.43,C1111-8P,IOS-XE 17.12.1,up,92,29,61,FTX10043AB,"hostname Router-43
interface GigabitEthernet0/0/0
 ip address 10.10.20.43 255.255.255.0
 no shutdown
router bgp 65300"
44,Router-44,Timisoara,10.10.20.44,ISR4451-X,IOS-XE 17.9.3,up,326,34,67,FTX10044AB,"hostname Router-44
interface GigabitEthernet0/0/0
 ip address 10.10.20.44 255.255.255.0
 no shutdown
router bgp 65300"
45,Router-45,Brasov,10.10.20.45,ISR4331,IOS-XE 17.9.4,up,154,22,55,FTX10045AB,"hostname Router-45
interface GigabitEthernet0/0/0
 ip address 10.10.20.45 255.255.255.0
 no shutdown
router eigrp 400"
46,Router-46,Bucharest,10.10.20.46,ASR1001-X,IOS-XE 17.6.5,up,247,18,47,FTX10046AB,"hostname Router-46
interface GigabitEthernet0/0/0
 ip address 10.10.20.46 255.255.255.0
 no shutdown
router eigrp 400"
47,Router-47,Cluj,10.10.20.47,C1111-8P,IOS-XE 17.12.1,up,79,27,59,FTX10047AB,"hostname Router-47
interface GigabitEthernet0/0/0
 ip address 10.10.20.47 255.255.255.0
 no shutdown
router eigrp 400"
48,Router-48,Iasi,10.10.20.48,ISR4451-X,IOS-XE 17.9.3,up,337,36,69,FTX10048AB,"hostname Router-48
interface GigabitEthernet0/0/0
 ip address 10.10.20.48 255.255.255.0
 no shutdown
router eigrp 400"
49,Router-49,Timisoara,10.10.20.49,ISR4331,IOS-XE 17.9.4,up,169,23,56,FTX10049AB,"hostname Router-49
interface GigabitEthernet0/0/0
 ip address 10.10.20.49 255.255.255.0
 no shutdown
router ospf 50"
50,Router-50,Brasov,10.10.20.50,ASR1001-X,IOS-XE 17.6.5,up,252,20,49,FTX10050AB,"hostname Router-50
interface GigabitEthernet0/0/0
 ip address 10.10.20.50 255.255.255.0
 no shutdown
router ospf 50"
